uri,name,activity_code_1,activity_code_2,introduction,entityType,graphdbName,dataSpace,abstractField,creationDate,sameAs,industry,outputOf,inputOf,productionVolume,productionVolumeUnit,pedigreeMatrix,imageUrl
rdf.bonsai.uno/exiobase3_3_17/activities/A_CATL,Cattle farming,i01.i,A_CATL,This dataset is about Cattle farming. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/6/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,2454843,tons,1;3;1;5;15,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_CHEM,Chemicals nec,i24.d,A_CHEM,This dataset is about Chemicals nec. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/7/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,2275005,unit,1;3;1;5;16,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_CHMF,Mining of chemical and fertilizer minerals production of salt other mining and quarrying n.e.c.,i14.3,A_CHMF,This dataset is about Mining of chemical and fertilizer minerals production of salt other mining and quarrying n.e.c.. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/8/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,7735493,cubic meter,1;3;1;5;17,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_CMNT,Manufacture of cement lime and plaster,i26.d,A_CMNT,This dataset is about Manufacture of cement lime and plaster. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/9/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,6133419,tons,1;3;1;5;18,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_COAL,Mining of coal and lignite; extraction of peat (10),i10,A_COAL,This dataset is about Mining of coal and lignite; extraction of peat (10). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/10/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,4149799,unit,1;3;1;5;19,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_COIL,Extraction of crude petroleum and services related to crude oil extraction excluding surveying,i11.a,A_COIL,This dataset is about Extraction of crude petroleum and services related to crude oil extraction excluding surveying. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/11/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,6200441,cubic meter,1;3;1;5;20,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_COKE,Manufacture of coke oven products,i23.1,A_COKE,This dataset is about Manufacture of coke oven products. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/12/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,2775257,tons,1;3;1;5;21,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_COMF,Composting of food waste incl. land application,i90.3.a,A_COMF,This dataset is about Composting of food waste incl. land application. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/13/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,4745094,unit,1;3;1;5;22,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_COMP,Computer and related activities (72),i72,A_COMP,This dataset is about Computer and related activities (72). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/14/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,6878240,cubic meter,1;3;1;5;23,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_COMW,Composting of paper and wood incl. land application,i90.3.b,A_COMW,This dataset is about Composting of paper and wood incl. land application. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/15/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,6228715,tons,1;3;1;5;24,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_CONS,Construction (45),i45,A_CONS,This dataset is about Construction (45). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/16/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,3062509,unit,1;3;1;5;25,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_CONW,Re-processing of secondary construction material into aggregates,i45.w,A_CONW,This dataset is about Re-processing of secondary construction material into aggregates. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/17/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,5049283,cubic meter,1;3;1;5;26,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_COPO,Mining of copper ores and concentrates,i13.20.11,A_COPO,This dataset is about Mining of copper ores and concentrates. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/18/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,4477951,tons,1;3;1;5;27,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_COPP,Copper production,i27.44,A_COPP,This dataset is about Copper production. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/19/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,7016171,tons,1;3;1;5;28,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_COPW,Re-processing of secondary copper into new copper,i27.44.w,A_COPW,This dataset is about Re-processing of secondary copper into new copper. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/20/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,4637406,unit,1;3;1;5;29,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_CRMC,Manufacture of ceramic goods,i26.b,A_CRMC,This dataset is about Manufacture of ceramic goods. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/21/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,3576618,cubic meter,1;3;1;5;30,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_DAIR,Processing of dairy products,i15.f,A_DAIR,This dataset is about Processing of dairy products. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/22/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,3345556,tons,1;3;1;5;31,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_EDUC,Education (80),i80,A_EDUC,This dataset is about Education (80). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/23/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,2976385,unit,1;3;1;5;32,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_ELMA,Manufacture of electrical machinery and apparatus n.e.c. (31),i31,A_ELMA,This dataset is about Manufacture of electrical machinery and apparatus n.e.c. (31). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/24/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,7597315,cubic meter,1;3;1;5;33,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_EXTO,Extra-territorial organizations and bodies,i99,A_EXTO,This dataset is about Extra-territorial organizations and bodies. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/25/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,7917077,tons,1;3;1;5;34,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_FABM,Manufacture of fabricated metal products except machinery and equipment (28),i28,A_FABM,This dataset is about Manufacture of fabricated metal products except machinery and equipment (28). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/26/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,4106836,unit,1;3;1;5;35,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_FAUX,Activities auxiliary to financial intermediation (67),i67,A_FAUX,This dataset is about Activities auxiliary to financial intermediation (67). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/27/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,2903717,cubic meter,1;3;1;5;36,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_FIBR,Cultivation of plant-based fibers,i01.g,A_FIBR,This dataset is about Cultivation of plant-based fibers. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/28/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,7548057,tons,1;3;1;5;37,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_FINS,Insurance and pension funding except compulsory social security (66),i66,A_FINS,This dataset is about Insurance and pension funding except compulsory social security (66). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/29/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,7646782,unit,1;3;1;5;38,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
